species,replicate number,invade.mono,temperature,mesocosm ID,day1,day7,day11,day15,day19,day21,day25,day28,day30,day30.5,day32,day32.5,day35,day35.5,day37,day37.5,day39,day39.5,day42,day42.5,day45,day45.5,day47,day47.5,day52,day60,day61,day68,day69,day75,day76,day82,day83,
diaphanosoma,1,monoculture,27,dia-meso-27-1,,,,,,,,3,3,,8,,15,,,,135,,221,,205,,223,,,,,,,,,,,
diaphanosoma,2,monoculture,27,dia-meso-27-2,,,,,,,,3,3,,4,,29,,,,67,,164,,213,,244,,,,,,,,,,,
diaphanosoma,3,monoculture,27,dia-meso-27-3,,,,,,,,3,3,,7,,18,,,,41,,144,,192,,251,,,,,,,,,,,
diaphanosoma,1,monoculture,26,dia-meso-26-1,,,,,,,,3,2,,1,,1,,,,3,,6,,28,,52,,429,,,,,,,,,
diaphanosoma,2,monoculture,26,dia-meso-26-2,,,,,,,,3,3,,7,,9,,,,36,,107,,261,,285,,,,,,,,,,,
diaphanosoma,3,monoculture,26,dia-meso-26-3,,,,,,,,3,3,,6,,9,,,,65,,173,,412,,398,,,,,,,,,,,
diaphanosoma,1,monoculture,24,dia-meso-24-1,,,,,,,,3,3,,6,,8,,,,35,,77,,246,,422,,458,,,,,,,,,
diaphanosoma,2,monoculture,24,dia-meso-24-2,,,,,,,,3,2,,8,,9,,,,61,,94,,164,,267,,409,,,,,,,,,
diaphanosoma,3,monoculture,24,dia-meso-24-3,,,,,,,,3,2,,4,,4,,,,16,,36,,83,,139,,321,,,,,,,,,
diaphanosoma,1,monoculture,20,dia-meso-20-1,,,,,,,,3,3,,3,,3,,,,8,,13,,13,,15,,77,,,,,,,,,
diaphanosoma,2,monoculture,20,dia-meso-20-2,,,,,,,,3,3,,5,,2,,,,15,,22,,38,,67,,198,,,,,,,,,
diaphanosoma,3,monoculture,20,dia-meso-20-3,,,,,,,,3,3,,4,,2,,,,2,,4,,6,,11,,39,,,,,,,,,
daphnia,1,monoculture,20,daph-meso-20-1,,,,,,,,3,3,,2,,5,,12,,17,,44,,68,,73,,,,,,,,,,,
daphnia,2,monoculture,20,daph-meso-20-2,,,,,,,,3,3,,3,,20,,24,,62,,110,,164,,120,,,,,,,,,,,
daphnia,3,monoculture,20,daph-meso-20-3,,,,,,,,3,3,,3,,9,,20,,20,,68,,136,,186,,,,,,,,,,,
daphnia,1,monoculture,24,daph-meso-24-1,,,,,,,,3,3,,3,,29,,58,,103,,157,,147,,91,,,,,,,,,,,
daphnia,2,monoculture,24,daph-meso-24-2,,,,,,,,3,3,,3,,48,,79,,122,,148,,115,,95,,,,,,,,,,,
daphnia,3,monoculture,24,daph-meso-24-3,,,,,,,,3,3,,12,,41,,52,,132,,140,,93,,67,,,,,,,,,,,
daphnia,1,monoculture,26,daph-meso-26-1,,,,,,,,3,3,,3,,12,,26,,81,,142,,105,,87,,,,,,,,,,,
daphnia,2,monoculture,26,daph-meso-26-2,,,,,,,,3,3,,6,,27,,39,,94,,156,,76,,75,,,,,,,,,,,
daphnia,3,monoculture,26,daph-meso-26-3,,,,,,,,3,3,,8,,37,,61,,128,,153,,95,,70,,,,,,,,,,,
daphnia,1,monoculture,27,daph-meso-27-1,,,,,,,,3,3,,3,,13,,46,,60,,141,,65,,68,,,,,,,,,,,
daphnia,2,monoculture,27,daph-meso-27-2,,,,,,,,3,3,,3,,2,,2,,11,,35,,97,,107,,,,,,,,,,,
daphnia,3,monoculture,27,daph-meso-27-3,,,,,,,,3,3,,3,,20,,29,,75,,182,,90,,87,,,,,,,,,,,
daphnia,1,monoculture,28,daph-meso-28-1,,,,,,,,3,3,,3,,3,,3,,4,,23,,41,,54,,,,,,,,,,,
daphnia,2,monoculture,28,daph-meso-28-2,,,,,,,,3,3,,3,,2,,2,,5,,6,,21,,11,,,,,,,,,,,
daphnia,3,monoculture,28,daph-meso-28-3,,,,,,,,3,2,,3,,4,,10,,13,,27,,11,,40,,,,,,,,,,,
daphnia,1,monoculture,30,daph-meso-30-1,,,,,,,,3,2,,1,,3,,2,,1,,0,3,0,3,1,,,,,,,,,,,
daphnia,2,monoculture,30,daph-meso-30-2,,,,,,,,3,3,,3,,3,,3,,3,,0,3,2,,1,,,,,,,,,,,
daphnia,3,monoculture,30,daph-meso-30-3,,,,,,,,3,3,,3,,2,,2,,2,,0,3,1,,1,,,,,,,,,,,
